vehicle_id,timestamp,vehicle_type,vehicle_age_years,engine_size_l,vehicle_weight_kg,fuel_type,latitude,longitude,speed_kmph,acceleration_mps2,rpm,gear,throttle_position_pct,brake_pressure_pct,engine_load_pct,road_slope_pct,road_type,traffic_level,ambient_temperature_c,distance_travelled_km,idle_duration_sec,fuel_level_l,fuel_rate_lph,fuel_consumption_l_100km,behavior_label
V001,2026-08-22T08:10:52,Van,1,2.0,3080.2,Diesel,19.03111,72.840754,20.5,0.13,4500.0,1,74.7,0.0,74.4,0.91,Urban,High,26.6,0.32,0,69.38,6.6,32.21,excessive_revving
V001,2026-08-22T08:10:53,Van,1,2.0,3080.2,Diesel,19.03116,72.840794,20.0,-0.44,4500.0,1,75.7,0.0,89.2,-0.82,Urban,High,28.9,0.326,0,69.38,6.44,32.21,excessive_revving
V001,2026-08-22T08:10:54,Van,1,2.0,3080.2,Diesel,19.03121,72.840834,20.0,-0.11,4500.0,1,68.3,0.0,79.3,-0.15,Urban,High,27.5,0.331,0,69.37,6.44,32.21,excessive_revving
V001,2026-08-22T08:10:55,Van,1,2.0,3080.2,Diesel,19.031263,72.840876,21.2,0.33,4500.0,1,89.2,0.0,85.4,2.67,Urban,High,26.2,0.337,0,69.37,6.83,32.21,excessive_revving
V001,2026-08-22T08:10:56,Van,1,2.0,3080.2,Diesel,19.031315,72.840918,20.6,-0.17,4500.0,1,81.4,0.0,73.9,-0.0,Urban,High,25.9,0.343,0,69.37,6.64,32.21,excessive_revving
V001,2026-08-22T08:10:57,Van,1,2.0,3080.2,Diesel,19.031366,72.840959,20.8,0.05,4500.0,1,82.8,0.0,82.0,-1.14,Urban,High,24.7,0.349,0,69.37,6.7,32.21,excessive_revving
V001,2026-08-22T08:10:58,Van,1,2.0,3080.2,Diesel,19.031418,72.841,20.7,-0.03,4500.0,1,79.7,0.0,74.9,-0.17,Urban,High,32.1,0.354,0,69.37,6.66,32.21,excessive_revving
V001,2026-08-22T08:10:59,Van,1,2.0,3080.2,Diesel,19.031469,72.841041,20.2,-0.14,4500.0,1,85.7,0.0,71.4,0.66,Urban,High,26.7,0.36,0,69.37,6.5,32.21,excessive_revving
V001,2026-08-22T08:11:00,Van,1,2.0,3080.2,Diesel,19.031519,72.841081,20.0,-0.38,4500.0,1,86.0,0.0,82.3,0.58,Urban,High,26.7,0.366,0,69.36,6.44,32.21,excessive_revving
V001,2026-08-22T08:11:01,Van,1,2.0,3080.2,Diesel,19.031569,72.841121,20.0,-0.16,4500.0,1,65.7,0.0,86.8,-0.42,Urban,High,30.7,0.371,0,69.36,6.44,32.21,excessive_revving
V001,2026-08-22T08:11:02,Van,1,2.0,3080.2,Diesel,19.031619,72.841161,20.0,-0.92,4500.0,1,79.5,0.0,74.8,0.55,Urban,High,28.8,0.377,0,69.36,6.44,32.21,excessive_revving
V001,2026-08-22T08:11:03,Van,1,2.0,3080.2,Diesel,19.031673,72.841204,21.6,0.43,4500.0,1,83.3,0.0,80.8,-0.53,Urban,High,27.8,0.383,0,69.36,6.95,32.21,excessive_revving
V001,2026-08-22T08:11:04,Van,1,2.0,3080.2,Diesel,19.031728,72.841248,22.1,0.14,4500.0,1,82.8,0.0,80.9,-0.36,Urban,High,26.5,0.389,0,69.36,7.1,32.21,excessive_revving
V001,2026-08-22T08:11:05,Van,1,2.0,3080.2,Diesel,19.03178,72.84129,21.0,-0.29,4500.0,1,86.7,0.0,79.9,1.03,Urban,High,28.0,0.395,0,69.35,6.77,32.21,excessive_revving
V001,2026-08-22T08:11:06,Van,1,2.0,3080.2,Diesel,19.031834,72.841333,21.4,0.12,4500.0,1,88.4,0.0,71.3,0.22,Urban,High,27.3,0.401,0,69.35,6.91,32.21,excessive_revving
V001,2026-08-22T08:11:07,Van,1,2.0,3080.2,Diesel,19.031885,72.841374,20.6,-0.23,4500.0,1,84.2,0.0,86.1,-1.79,Urban,High,26.2,0.406,0,69.35,6.64,32.21,excessive_revving
V001,2026-08-22T08:11:08,Van,1,2.0,3080.2,Diesel,19.031938,72.841416,20.9,0.09,4500.0,1,85.7,0.0,77.2,0.64,Urban,High,27.8,0.412,0,69.35,6.74,32.21,excessive_revving
V001,2026-08-22T08:11:09,Van,1,2.0,3080.2,Diesel,19.031988,72.841456,20.0,-0.27,4500.0,1,65.6,0.0,81.3,0.5,Urban,High,27.3,0.418,0,69.35,6.44,32.21,excessive_revving
V001,2026-08-22T08:11:10,Van,1,2.0,3080.2,Diesel,19.032038,72.841497,20.3,0.07,4500.0,1,77.5,0.0,77.2,2.49,Urban,High,27.9,0.423,0,69.35,6.53,32.21,excessive_revving
V001,2026-08-22T08:11:11,Van,1,2.0,3080.2,Diesel,19.032092,72.841539,21.3,0.28,4500.0,1,68.5,0.0,84.6,1.49,Urban,High,26.1,0.429,0,69.34,6.85,32.21,excessive_revving
V001,2026-08-22T08:11:12,Van,1,2.0,3080.2,Diesel,19.032147,72.841584,22.2,0.26,4500.0,1,78.0,0.0,88.1,-0.5,Urban,High,27.3,0.435,0,69.34,7.16,32.21,excessive_revving
V001,2026-08-22T08:11:13,Van,1,2.0,3080.2,Diesel,19.032204,72.84163,23.0,0.21,4500.0,1,69.5,0.0,73.6,1.39,Urban,High,29.5,0.442,0,69.34,7.4,32.21,excessive_revving
V001,2026-08-22T08:11:14,Van,1,2.0,3080.2,Diesel,19.032261,72.841675,22.5,-0.12,4500.0,1,82.6,0.0,79.6,0.1,Urban,High,28.2,0.448,0,69.34,7.26,32.21,excessive_revving
V001,2026-08-22T08:11:15,Van,1,2.0,3080.2,Diesel,19.032319,72.841721,23.2,0.17,4500.0,1,81.4,0.0,74.5,-0.47,Urban,High,30.7,0.454,0,69.34,7.46,32.21,excessive_revving
V001,2026-08-22T08:11:16,Van,1,2.0,3080.2,Diesel,19.032375,72.841766,22.4,-0.22,4500.0,1,76.1,0.0,76.9,-0.85,Urban,High,31.3,0.461,0,69.33,7.21,32.21,excessive_revving
V001,2026-08-22T08:11:17,Van,1,2.0,3080.2,Diesel,19.032433,72.841812,23.1,0.21,4500.0,1,85.6,0.0,80.4,-0.34,Urban,High,24.8,0.467,0,69.33,7.46,32.21,excessive_revving
V001,2026-08-22T08:11:18,Van,1,2.0,3080.2,Diesel,19.032489,72.841857,22.7,-0.14,4500.0,1,77.5,0.0,79.4,0.11,Urban,High,26.6,0.473,0,69.33,7.3,32.21,excessive_revving
V001,2026-08-22T08:11:19,Van,1,2.0,3080.2,Diesel,19.032547,72.841903,23.0,0.11,4500.0,1,78.7,0.0,73.4,0.06,Urban,High,29.1,0.48,0,69.33,7.42,32.21,excessive_revving
V001,2026-08-22T08:11:20,Van,1,2.0,3080.2,Diesel,19.032602,72.841947,22.0,-0.3,4500.0,1,75.9,0.0,75.9,-1.18,Urban,High,29.3,0.486,0,69.32,7.08,32.21,excessive_revving
V001,2026-08-22T08:11:21,Van,1,2.0,3080.2,Diesel,19.032658,72.841992,22.3,0.09,4500.0,1,71.1,0.0,71.9,-0.57,Urban,High,29.8,0.492,0,69.32,7.18,32.21,excessive_revving
V001,2026-08-22T08:11:22,Van,1,2.0,3080.2,Diesel,19.032715,72.842038,22.9,0.16,4500.0,1,74.6,0.0,76.0,0.86,Urban,High,27.8,0.498,0,69.32,7.37,32.21,excessive_revving
V001,2026-08-22T08:11:23,Van,1,2.0,3080.2,Diesel,19.032773,72.842084,23.2,0.08,4500.0,1,70.7,0.0,77.0,-2.01,Urban,High,27.9,0.505,0,69.32,7.47,32.21,excessive_revving
V001,2026-08-22T08:11:24,Van,1,2.0,3080.2,Diesel,19.032829,72.842129,22.4,-0.22,4500.0,1,83.9,0.0,73.3,-0.75,Urban,High,28.0,0.511,0,69.32,7.22,32.21,excessive_revving
V001,2026-08-22T08:11:25,Van,1,2.0,3080.2,Diesel,19.032884,72.842173,22.0,-0.12,4500.0,1,74.5,0.0,82.7,-0.33,Urban,High,28.9,0.517,0,69.31,7.08,32.21,excessive_revving
V001,2026-08-22T08:11:26,Van,1,2.0,3080.2,Diesel,19.03294,72.842218,22.4,0.11,4500.0,1,76.4,0.0,72.9,-0.42,Urban,High,27.7,0.523,0,69.31,7.21,32.21,excessive_revving
V001,2026-08-22T08:11:27,Van,1,2.0,3080.2,Diesel,19.032998,72.842264,23.4,0.28,4500.0,1,81.4,0.0,82.3,-1.6,Urban,High,27.9,0.53,0,69.31,7.53,32.21,excessive_revving
V001,2026-08-22T08:11:28,Van,1,2.0,3080.2,Diesel,19.033057,72.842311,23.6,0.06,4500.0,1,88.3,0.0,87.5,-1.35,Urban,High,28.5,0.536,0,69.31,7.6,32.21,excessive_revving
V001,2026-08-22T08:11:29,Van,1,2.0,3080.2,Diesel,19.033116,72.842359,23.5,-0.01,4500.0,1,85.0,0.0,87.4,-0.11,Urban,High,27.5,0.543,0,69.31,7.58,32.21,excessive_revving
V001,2026-08-22T08:11:30,Van,1,2.0,3080.2,Diesel,19.033172,72.842404,22.6,-0.26,4500.0,1,69.5,0.0,79.6,0.48,Urban,High,27.4,0.549,0,69.3,7.28,32.21,excessive_revving
V001,2026-08-22T08:11:31,Van,1,2.0,3080.2,Diesel,19.033227,72.842447,21.8,-0.24,4500.0,1,80.8,0.0,83.6,-0.03,Urban,High,27.5,0.555,0,69.3,7.01,32.21,excessive_revving
V001,2026-08-22T08:11:32,Van,1,2.0,3080.2,Diesel,19.033282,72.842492,22.3,0.16,4500.0,1,82.9,0.0,80.6,1.25,Urban,High,27.6,0.561,0,69.3,7.19,32.21,excessive_revving
V001,2026-08-22T08:11:33,Van,1,2.0,3080.2,Diesel,19.033335,72.842534,21.0,-0.36,4500.0,1,79.3,0.0,82.0,2.12,Urban,High,29.3,0.567,0,69.3,6.77,32.21,excessive_revving
V001,2026-08-22T08:11:34,Van,1,2.0,3080.2,Diesel,19.033385,72.842574,20.0,-0.31,4500.0,1,89.4,0.0,88.0,0.61,Urban,High,24.9,0.573,0,69.3,6.44,32.21,excessive_revving
V001,2026-08-22T08:11:35,Van,1,2.0,3080.2,Diesel,19.033435,72.842614,20.0,-0.02,4500.0,1,86.3,0.0,72.6,-1.01,Urban,High,27.0,0.578,0,69.3,6.44,32.21,excessive_revving
V001,2026-08-22T08:11:36,Van,1,2.0,3080.2,Diesel,19.033491,72.842659,22.3,0.65,4500.0,1,67.1,0.0,84.2,-0.99,Urban,High,27.8,0.585,0,69.29,7.19,32.21,excessive_revving
V001,2026-08-22T08:11:37,Van,1,2.0,3080.2,Diesel,19.033553,72.842709,24.9,0.73,4500.0,1,90.0,0.0,74.0,1.74,Urban,High,27.3,0.592,0,69.29,8.04,32.21,excessive_revving
V001,2026-08-22T08:11:38,Van,1,2.0,3080.2,Diesel,19.033619,72.842761,26.2,0.35,4500.0,1,73.8,0.0,74.1,0.24,Urban,High,28.9,0.599,0,69.29,8.44,32.21,excessive_revving
V001,2026-08-22T08:11:39,Van,1,2.0,3080.2,Diesel,19.033686,72.842815,26.9,0.2,4500.0,1,87.1,0.0,80.8,0.26,Urban,High,28.0,0.606,0,69.29,8.67,32.21,excessive_revving
V001,2026-08-22T08:11:40,Van,1,2.0,3080.2,Diesel,19.033754,72.842869,27.0,0.02,4500.0,1,77.0,0.0,75.2,-1.95,Urban,High,27.9,0.614,0,69.28,8.7,32.21,excessive_revving
V001,2026-08-22T08:11:41,Van,1,2.0,3080.2,Diesel,19.033822,72.842924,27.5,0.14,4500.0,1,77.0,0.0,74.5,-0.62,Urban,High,27.5,0.621,0,69.28,8.85,32.21,excessive_revving
V001,2026-08-22T08:11:42,Van,1,2.0,3080.2,Diesel,19.03389,72.842978,27.2,-0.09,4500.0,1,70.9,0.0,85.3,0.75,Urban,High,28.1,0.629,0,69.28,8.75,32.21,excessive_revving
V001,2026-08-22T08:11:43,Van,1,2.0,3080.2,Diesel,19.033961,72.843035,28.3,0.32,4500.0,1,76.0,0.0,70.7,-1.76,Urban,High,29.4,0.637,0,69.28,9.12,32.21,excessive_revving
V001,2026-08-22T08:11:44,Van,1,2.0,3080.2,Diesel,19.034035,72.843094,29.5,0.34,4500.0,1,83.5,0.0,71.1,0.86,Urban,High,29.0,0.645,0,69.27,9.51,32.21,excessive_revving
V001,2026-08-22T08:11:45,Van,1,2.0,3080.2,Diesel,19.034105,72.84315,28.0,-0.41,4500.0,1,74.3,0.0,87.7,0.77,Urban,High,30.8,0.653,0,69.27,9.03,32.21,excessive_revving
V001,2026-08-22T08:11:46,Van,1,2.0,3080.2,Diesel,19.034168,72.8432,25.3,-0.76,4500.0,1,78.1,0.0,86.1,-1.49,Urban,High,28.3,0.66,0,69.27,8.16,32.21,excessive_revving
V001,2026-08-22T08:11:47,Van,1,2.0,3080.2,Diesel,19.034229,72.843249,24.5,-0.24,4500.0,1,73.6,0.0,89.8,-0.34,Urban,High,26.4,0.667,0,69.27,7.88,32.21,excessive_revving
V001,2026-08-22T08:11:48,Van,1,2.0,3080.2,Diesel,19.034288,72.843296,23.4,-0.29,4500.0,1,69.2,0.0,87.5,-1.51,Urban,High,26.3,0.673,0,69.26,7.54,32.21,excessive_revving
V001,2026-08-22T08:11:49,Van,1,2.0,3080.2,Diesel,19.034344,72.843341,22.4,-0.28,4500.0,1,68.8,0.0,82.3,-1.0,Urban,High,25.5,0.679,0,69.26,7.22,32.21,excessive_revving
V001,2026-08-22T08:11:50,Van,1,2.0,3080.2,Diesel,19.034398,72.843385,21.8,-0.17,4500.0,1,73.9,0.0,77.1,0.53,Urban,High,31.1,0.685,0,69.26,7.03,32.21,excessive_revving
V001,2026-08-22T08:11:51,Van,1,2.0,3080.2,Diesel,19.034451,72.843427,21.1,-0.21,4500.0,1,71.3,0.0,86.8,-0.58,Urban,High,30.2,0.691,0,69.26,6.78,32.21,excessive_revving
V001,2026-08-22T08:11:52,Van,1,2.0,3080.2,Diesel,19.034501,72.843467,20.0,-0.55,4500.0,1,84.8,0.0,71.3,-0.95,Urban,High,27.0,0.697,0,69.26,6.44,32.21,excessive_revving
V001,2026-08-22T08:11:53,Van,1,2.0,3080.2,Diesel,19.034551,72.843507,20.0,-0.14,4500.0,1,65.7,0.0,81.5,-0.33,Urban,High,28.3,0.702,0,69.26,6.44,32.21,excessive_revving
V001,2026-08-22T08:11:54,Van,1,2.0,3080.2,Diesel,19.034601,72.843547,20.1,0.04,4500.0,1,84.9,0.0,82.8,-0.36,Urban,High,27.5,0.708,0,69.25,6.49,32.21,excessive_revving
V001,2026-08-22T08:11:55,Van,1,2.0,3080.2,Diesel,19.034658,72.843592,22.5,0.65,4500.0,1,70.4,0.0,80.3,-1.33,Urban,High,28.1,0.714,0,69.25,7.24,32.21,excessive_revving
V001,2026-08-22T08:11:56,Van,1,2.0,3080.2,Diesel,19.034717,72.84364,23.9,0.41,4500.0,1,86.4,0.0,78.9,0.55,Urban,High,27.7,0.721,0,69.25,7.71,32.21,excessive_revving
V001,2026-08-22T08:11:57,Van,1,2.0,3080.2,Diesel,19.034776,72.843687,23.5,-0.12,4500.0,1,85.9,0.0,83.5,-1.36,Urban,High,28.6,0.727,0,69.25,7.57,32.21,excessive_revving
V001,2026-08-22T08:11:58,Van,1,2.0,3080.2,Diesel,19.034833,72.843732,22.6,-0.25,4500.0,1,86.4,0.0,86.7,-0.99,Urban,High,27.1,0.734,0,69.25,7.28,32.21,excessive_revving
V001,2026-08-22T08:11:59,Van,1,2.0,3080.2,Diesel,19.03489,72.843778,23.1,0.14,4500.0,1,69.8,0.0,73.7,-1.02,Urban,High,28.3,0.74,0,69.24,7.43,32.21,excessive_revving
V001,2026-08-22T10:10:00,Van,1,2.0,2930.9,Diesel,19.067428,72.925456,38.6,3.32,4500.0,2,86.9,0.0,97.4,1.93,Urban,High,26.8,0.011,0,55.69,7.91,20.5,harsh_acceleration
